family,scenario,category_id,name,baseline_rank,rank,score,unit_id
core,remove_volume,C0122,热电材料与热电性能优化,16.0,25.0,88.75192604006163,
core,remove_volume,C0123,磁约束等离子体运行与边界,154.0,161.0,61.47919876733437,
core,remove_volume,C0124,电力系统碳计量与低碳调度,163.0,144.0,65.69080636877247,
core,remove_volume,C0125,重整气化与合成气制氢,73.0,71.0,79.36569080636878,
core,remove_volume,C0127,质子交换及功能聚合物膜,62.0,55.0,81.89522342064716,
core,remove_volume,C0129,生物质与污泥厌氧消化产气,46.0,48.0,82.61427837699024,
core,remove_volume,C0130,能源网络安全与隐私保护,79.0,123.0,70.33898305084745,
core,remove_volume,C0132,超级电容器复合电极材料,19.0,14.0,92.87365177195689,
core,remove_volume,C0136,电力市场机制与产消者经济,119.0,152.0,63.32819722650231,
core,remove_volume,C0137,电解与其他路线制氢技术,41.0,36.0,86.38931689779147,
core,remove_volume,C0138,光伏出力预测与系统参数建模,43.0,58.0,81.06060606060606,
core,remove_volume,C0139,变压器油纸绝缘诊断,196.0,191.0,53.99332306111967,
core,remove_volume,C0140,厌氧微生物产甲烷机制,85.0,62.0,80.49563430919365,
core,remove_volume,C0143,微电网变流器协调与功率分配,63.0,102.0,74.87159732922446,
core,remove_volume,C0144,能源作物种植与生物质采收,170.0,169.0,59.8613251155624,
core,remove_volume,C0146,铁基催化剂与氧电催化,9.0,8.0,96.03235747303545,
core,remove_volume,C0150,储能技术与能量转换综述,124.0,91.0,76.43810991268619,
core,remove_volume,C0151,多孔碳吸附二氧化碳,29.0,27.0,88.44375963020032,
core,remove_volume,C0154,无线电能传输电路与系统,110.0,141.0,65.98613251155625,
core,remove_volume,C0155,电解水析氧催化,3.0,4.0,97.32922444786853,
core,remove_volume,C0156,电力交易竞价与市场优化,89.0,119.0,71.48176682074987,
core,remove_volume,C0158,有机光伏材料、器件与载流子输运,18.0,22.0,89.95891114535182,
core,remove_volume,C0159,太阳辐照预测与光伏环境建模,98.0,113.0,72.9070364663585,
core,remove_volume,C0161,车辆操稳道路与轮胎交互,164.0,172.0,59.399075500770415,
core,remove_volume,C0164,输电线路雷电接地与电磁影响,195.0,196.0,51.47663071391885,
core,remove_volume,C0165,天然气供能与燃气动力系统,187.0,184.0,55.5341551104263,
core,remove_volume,C0166,多类太阳能电池结构与性能,92.0,104.0,74.67899332306112,
core,remove_volume,C0169,电池荷电状态健康状态与建模,35.0,34.0,86.51771956856703,
core,remove_volume,C0171,最优潮流与电网优化运行,160.0,158.0,62.673343605547,
core,remove_volume,C0172,燃烧稳定与低污染排放,130.0,131.0,67.59116589625064,
core,remove_volume,C0176,光伏最大功率点跟踪,67.0,114.0,72.29070364663586,
core,remove_volume,C0181,聚变装置与粒子束工程,193.0,192.0,53.89060092449923,
core,remove_volume,C0183,通用控制器与电力控制算法,64.0,108.0,74.02413970210581,
core,remove_volume,C0185,风电场运行与功率优化,107.0,133.0,67.18027734976889,
core,remove_volume,C0186,煤热解气化与煤质特性,102.0,103.0,74.69183359013869,
core,remove_volume,C0189,风力机叶片与气动设计,44.0,78.0,78.19722650231125,
core,remove_volume,C0191,固态储氢材料与反应器,15.0,15.0,92.65536723163842,
core,remove_volume,C0195,碳捕集封存与碳移除系统,65.0,92.0,76.2326656394453,
core,remove_volume,C0196,混合动力与整车能量管理,50.0,88.0,77.29840780688238,
core,remove_volume,C0200,直流输电保护与故障限流,147.0,155.0,63.0457113507961,
core,remove_volume,C0205,电池测试表征与性能评估,86.0,101.0,75.33384694401644,
core,remove_volume,C0210,地热资源开发与换热,97.0,120.0,71.19928094504367,
core,remove_volume,C0211,直流变换器拓扑与设计,90.0,126.0,69.65844889573702,
core,remove_volume,C0212,等离子体波与高能粒子作用,149.0,163.0,61.325115562403695,
core,remove_volume,C0213,电力电缆绝缘与运行诊断,185.0,187.0,55.05906522855676,
core,remove_volume,C0216,电力可靠性与电气安全,176.0,183.0,55.855161787365184,
core,remove_volume,C0220,局部放电电晕与放电物理,192.0,188.0,54.84078068823831,
core,remove_volume,C0221,锂金属沉积与含锂电极材料,26.0,33.0,87.17257318952235,
core,remove_volume,C0222,木质纤维素预处理与生化转化,49.0,41.0,85.09244992295841,
core,remove_volume,C0223,泵水轮机与水力机械流动,105.0,139.0,66.1402157164869,
core,remove_volume,C0227,空调通风与空气处理,162.0,151.0,63.70056497175142,
core,remove_volume,C0228,能源审计与综合节能评估,145.0,168.0,59.92552645095017,
core,remove_volume,C0233,半导体光电化学水分解,25.0,19.0,91.2300975860298,
core,remove_volume,C0234,软开关谐振与交流变换器,167.0,173.0,58.89830508474576,
core,remove_volume,C0235,热电发电器件与热设计,95.0,124.0,70.2105803800719,
core,remove_volume,C0236,氢能供给加氢与系统集成,47.0,45.0,84.23215202876221,
core,remove_volume,C0237,分布式光伏部署与技术经济,45.0,93.0,76.16846430405751,
core,remove_volume,C0243,生物油热解与燃料升级,72.0,80.0,77.90190035952749,
core,remove_volume,C0245,碳基超级电容器电极,24.0,17.0,91.93631227529534,
core,remove_volume,C0246,虚拟电厂资源聚合与调度,171.0,132.0,67.21879815100155,
core,remove_volume,C0250,热力循环余热与联供系统,118.0,137.0,66.85927067283,
core,remove_volume,C0251,充电站选址与充电调度,38.0,47.0,82.90960451977402,
core,remove_volume,C0252,热泵与区域供热供冷,121.0,138.0,66.52542372881356,
core,remove_volume,C0253,二氧化碳加氢与多类催化反应,36.0,28.0,88.32819722650231,
core,remove_volume,C0254,电催化析氢与界面调控,6.0,6.0,96.391884951207,
core,remove_volume,C0258,综合能源系统协同管理与优化调度,23.0,43.0,84.77144324601952,
core,remove_volume,C0259,锂硫电池正极与多硫化物调控,30.0,30.0,87.66050333846944,
core,remove_volume,C0265,覆冰冻结与除冰传热,191.0,179.0,57.973805855161785,
core,remove_volume,C0271,沼气及多路线生物燃料,76.0,76.0,78.41551104262969,
core,remove_volume,C0275,风电发电机与并网控制,111.0,140.0,66.05033384694401,
core,remove_volume,C0276,锂离子电池负极材料,13.0,18.0,91.39702105803802,
core,remove_volume,C0278,整体电催化水分解,7.0,5.0,96.87981510015408,
core,remove_volume,C0285,热泵换热器与热管理设计,74.0,84.0,77.60657421674372,
core,remove_volume,C0286,燃料电池铂基催化剂,17.0,16.0,92.05187467899331,
core,remove_volume,C0287,核裂变聚变与核电工程,182.0,186.0,55.1617873651772,
core,remove_volume,C0293,电池系统管理与全寿命利用,42.0,60.0,80.5598356445814,
core,remove_volume,C0296,供水管网水力状态与节能调度,174.0,165.0,60.2336928608115,
core,remove_volume,C0297,废旧锂电池回收、分离与材料再生,27.0,21.0,90.96045197740114,
core,remove_volume,C0298,场效应晶体管结构与建模,161.0,142.0,65.7678479712378,
core,remove_volume,C0302,制冷循环与余热驱动制冷,84.0,68.0,79.417051874679,
core,remove_volume,C0306,电能质量谐波检测与信号分析,175.0,181.0,56.59989727786338,
core,remove_volume,C0307,对流換热与换热器热工分析,93.0,121.0,70.71135079609657,
core,remove_volume,C0316,多种燃料燃烧与排放评估,139.0,147.0,65.21571648690293,
core,remove_volume,C0319,等离子体动力学与磁约束,197.0,194.0,53.00462249614792,
core,remove_volume,C0320,二氧化碳捕集材料与工艺,51.0,50.0,82.51155624036981,
core,remove_volume,C0327,风速与风电出力预测,117.0,117.0,72.04673857216231,
core,remove_volume,C0328,太阳能集热器与光热利用,56.0,90.0,76.47663071391885,
core,remove_volume,C0330,太阳能界面蒸发与海水淡化,13.0,13.0,93.3487416538264,
core,remove_volume,C0337,光伏跟踪与太阳能装置控制,201.0,200.0,49.55059065228557,
core,remove_volume,C0338,相变储热材料与传热增强,37.0,32.0,87.3009758602979,
core,remove_volume,C0340,甲醇电氧化与贵金属催化剂,75.0,49.0,82.52439650744736,
core,remove_volume,C0342,生物质热解气化与水热转化,54.0,37.0,85.91422701592194,
core,remove_volume,C0343,锂电池热行为与安全机制,28.0,26.0,88.46944016435542,
core,remove_volume,C0348,智能电网信息安全与韧性,80.0,96.0,75.64201335387777,
core,remove_volume,C0369,多体系二次电池材料与电解液综述,10.0,11.0,94.5814072932717,
core,remove_volume,C0371,太阳辐射测量估算与大气影响,173.0,176.0,58.53877760657422,
core,remove_volume,C0372,电力节能与新能源应用泛论,194.0,197.0,51.117103235747294,
core,remove_volume,C0378,纳米流体传热性质与强化,76.0,73.0,79.34001027221368,
core,remove_volume,C0379,锅炉蒸汽系统与汽轮机运行,183.0,189.0,54.58397534668721,
core,remove_volume,C0380,天然气管网供给与市场治理,200.0,201.0,48.45916795069337,
core,remove_volume,C0381,光伏发电功率预测方法与装置,153.0,116.0,72.21366204417052,
core,remove_volume,C0383,交通运输车辆与燃料效率,87.0,115.0,72.2778633795583,
core,remove_volume,C0385,辐照材料损伤与稳定性,159.0,160.0,62.17257318952235,
core,remove_volume,C0386,感应电机运行控制与性能,150.0,175.0,58.577298407806886,
core,remove_volume,C0391,水力发电与水轮机系统,144.0,146.0,65.66512583461737,
core,remove_volume,C0394,电力负荷需求与电价预测,55.0,77.0,78.23574730354392,
core,remove_volume,C0407,水系锌电池负极及界面稳定,12.0,12.0,94.02927580893684,
core,remove_volume,C0408,配电网重构与优化运行,112.0,134.0,67.1160760143811,
core,remove_volume,C0412,质子交换膜燃料电池运行与建模,104.0,97.0,75.462249614792,
core,remove_volume,C0417,固体氧化物电解池与可逆电化学单元,91.0,86.0,77.54237288135593,
core,remove_volume,C0420,碳化硅功率半导体器件,125.0,136.0,66.98767334360555,
core,remove_volume,C0421,柴油机及多燃料内燃机性能,177.0,174.0,58.64149974319466,
core,remove_volume,C0426,太阳能光热及光伏光热系统,40.0,35.0,86.45351823317927,
core,remove_volume,C0427,通用电气工程应用与技术资料,202.0,202.0,46.6743708269132,
core,remove_volume,C0430,电力系统电磁暂态与实时仿真,199.0,199.0,50.30816640986132,
core,remove_volume,C0435,智能电表物联网与用能监测,157.0,164.0,60.41345659989727,
core,remove_volume,C0436,钠离子电池电极材料,8.0,10.0,95.15921931176167,
core,remove_volume,C0439,电气化铁路牵引与供电,198.0,198.0,50.43656908063687,
core,remove_volume,C0443,建筑能效与居民供热用能,48.0,64.0,80.18746789933232,
core,remove_volume,C0446,电力扰动孤岛及异常识别算法,39.0,52.0,82.10066769388804,
core,remove_volume,C0448,水资源调度灌溉与水能利用,152.0,149.0,64.39393939393939,
core,remove_volume,C0451,电力系统暂态电压与稳定性分析,108.0,143.0,65.75500770416025,
core,remove_volume,C0452,风光储及混合能源系统配置,61.0,79.0,78.18438623523369,
core,remove_volume,C0457,电网状态估计相量测量与系统分析,169.0,170.0,59.79712378017463,
core,remove_volume,C0461,电催化制氨与氮循环反应,11.0,9.0,95.46738572162302,
core,remove_volume,C0462,超导电力装置与故障限流,189.0,185.0,55.44427324088341,
core,remove_volume,C0463,区域供热预测与热系统建模,99.0,105.0,74.35798664612224,
core,remove_volume,C0464,潜热及热化学储热系统,71.0,59.0,80.62403697996918,
core,remove_volume,C0465,功率因数校正与变流器电流控制,137.0,157.0,62.80174627632256,
core,remove_volume,C0472,多电平逆变器拓扑与调制,133.0,159.0,62.46789933230612,
core,remove_volume,C0473,二氧化碳地质封存与驱油,33.0,46.0,83.70570107858242,
core,remove_volume,C0481,微生物燃料电池与生物产电,81.0,57.0,81.57421674370828,
core,remove_volume,C0484,配电系统供电设备与可靠性,151.0,171.0,59.758602978941965,
core,remove_volume,C0485,锂钠储能负极纳米材料,65.0,63.0,80.34155110426298,
core,remove_volume,C0487,电池冷却与散热,58.0,40.0,85.11813045711352,
core,remove_volume,C0501,钠电池电解液与界面,142.0,85.0,77.5552131484335,
core,remove_volume,C0532,钙钛矿叠层太阳能电池,126.0,66.0,79.75089881869543,
core,remove_volume,C0533,氮化镓功率与结器件,181.0,153.0,63.2768361581921,
core,remove_volume,C0534,氢能技术经济与生命周期,129.0,65.0,80.05906522855676,
core,remove_volume,C0552,微电网能量管理与经济调度,128.0,94.0,76.11710323574731,
core,remove_volume,C0555,锌空气电池,134.0,81.0,77.76065742167438,
core,remove_volume,C0556,水系锌离子电池,21.0,22.0,89.95891114535183,
core,remove_volume,C0564,波浪能转换装置,179.0,156.0,62.865947611710325,
core,remove_volume,C0576,碱性水电解制氢,131.0,72.0,79.35285053929123,
core,remove_volume,C0577,质子交换膜水电解制氢,127.0,67.0,79.62249614791988,
core,remove_volume,C0592,电池荷电状态估计,106.0,87.0,77.4653312788906,
core,remove_volume,C0593,电池健康状态与寿命预测,68.0,38.0,85.4648176682075,
core,remove_volume,C0598,锂资源提取与分离,109.0,70.0,79.37853107344634,
core,remove_volume,C0616,锂金属负极界面稳定与枝晶抑制,115.0,68.0,79.41705187467899,
core,remove_volume,C0622,谐振与软开关变换器,186.0,178.0,58.15356959424756,
core,remove_volume,C0633,区域供热供冷系统,166.0,144.0,65.69080636877247,
core,remove_volume,C0634,二氧化碳催化加氢与甲烷化,141.0,107.0,74.08834103749359,
core,remove_volume,C0671,二氧化碳固体吸附捕集,113.0,83.0,77.65793528505394,
core,remove_volume,C0672,漂浮式海上风电平台,132.0,99.0,75.35952747817156,
core,remove_volume,C0675,风电出力预测,138.0,111.0,73.54904982023626,
core,remove_volume,C0680,生物质气化制合成气,140.0,95.0,75.78325629173086,
core,remove_volume,C0684,电池热失控与传播,123.0,75.0,79.070364663585,
core,remove_volume,C0700,永磁同步电机控制,168.0,150.0,64.21417565485362,
core,remove_volume,C0712,电力负荷预测,165.0,130.0,67.77092963533642,
core,remove_volume,C0714,层状及富镍锂电正极材料,103.0,56.0,81.6769388803287,
core,remove_volume,C0723,光伏光热联合系统,136.0,99.0,75.35952747817154,
core,remove_volume,C0727,钠离子电池负极材料,94.0,53.0,81.98510529019005,
core,remove_volume,C0728,钠离子电池正极材料,78.0,44.0,84.48895737031332,
core,remove_volume,C0744,潜热储热系统,95.0,54.0,81.92090395480227,
core,remove_citation,C0004,风能开发与风电技术经济,101.0,72.0,85.79545454545455,
core,remove_citation,C0005,钙钛矿氧化物电催化,88.0,132.0,73.27619414483821,
core,remove_citation,C0009,二氧化碳电还原催化,2.0,6.0,98.9695685670262,
core,remove_citation,C0011,光催化与光生物制氢,31.0,63.0,86.71995377503852,
core,remove_citation,C0012,聚合物介电绝缘与储能,146.0,152.0,67.70993836671802,
core,remove_citation,C0017,电磁场耦合与电磁换能,190.0,167.0,64.5897534668721,
core,remove_citation,C0024,海洋资源开发与海上工程,178.0,142.0,69.74191063174113,
core,remove_citation,C0027,变压器与高压开关设备,188.0,164.0,65.3120184899846,
core,remove_citation,C0028,电动汽车充电设施及并网,83.0,68.0,86.11325115562404,
core,remove_citation,C0031,车辆驱动制动与运动控制,155.0,123.0,74.55701078582435,
core,remove_citation,C0033,石油产业与油价经济,135.0,90.0,81.21147919876734,
core,remove_citation,C0037,光催化二氧化碳转化与氧化还原,3.0,8.0,98.80585516178736,
core,remove_citation,C0044,二氧化碳及混合气体膜分离,116.0,141.0,69.91525423728812,
core,remove_citation,C0046,煤气化与燃煤清洁转化,148.0,162.0,65.95724191063174,
core,remove_citation,C0048,配电网柔性调度与协同规划,100.0,79.0,84.08127889060091,
core,remove_citation,C0050,固态及凝胶聚合物电解质,34.0,57.0,88.83859784283513,
core,remove_citation,C0056,电储能系统配置与运行,52.0,54.0,89.23343605546997,
core,remove_citation,C0059,厌氧过程微生物与生物能源,53.0,77.0,84.82280431432973,
core,remove_citation,C0060,超级电容器电极与器件,1.0,1.0,99.711093990755,
core,remove_citation,C0063,生物质热解与炭化,32.0,22.0,94.7515408320493,
core,remove_citation,C0067,钙钛矿太阳能电池界面与器件性能,5.0,3.0,99.23921417565484,
core,remove_citation,C0069,宽禁带半导体外延与结器件,156.0,147.0,68.87519260400616,
core,remove_citation,C0072,氢能产业与制氢技术经济,20.0,14.0,96.83166409861325,
core,remove_citation,C0082,智能电网体系与通信,143.0,117.0,76.26155624036979,
core,remove_citation,C0083,配电网电压无功与电能质量,158.0,127.0,73.87326656394453,
core,remove_citation,C0086,光伏组件性能建模与故障检测,60.0,47.0,90.88983050847456,
core,remove_citation,C0088,污水厌氧处理与产能回收,114.0,110.0,77.77349768875193,
core,remove_citation,C0091,等离子体湍流与不稳定性,172.0,143.0,69.64560862865947,
core,remove_citation,C0098,建筑与工业冷却节能,120.0,112.0,77.40755007704159,
core,remove_citation,C0102,电力设备与线路故障检测、定位和诊断,70.0,40.0,91.47727272727272,
core,remove_citation,C0104,发动机燃气轮机与动力机械,184.0,160.0,66.18836671802774,
core,remove_citation,C0105,微电网能量管理与优化,69.0,61.0,87.17257318952234,
core,remove_citation,C0106,电动汽车推广与整车能耗,57.0,18.0,95.54121725731896,
core,remove_citation,C0109,水系锌电池与锌空气电池,22.0,48.0,90.45647149460709,
core,remove_citation,C0115,二氧化碳吸收溶解与水合物,82.0,89.0,81.24036979969182,
core,remove_citation,C0117,制冷循环工质与能效,122.0,94.0,80.99961479198767,
core,remove_citation,C0120,电力载波与通信传输,180.0,155.0,67.15138674884437,
core,remove_citation,C0121,波浪能装置与海洋水动力,59.0,37.0,92.18027734976889,
core,remove_citation,C0122,热电材料与热电性能优化,16.0,9.0,98.69029275808936,
core,remove_citation,C0123,磁约束等离子体运行与边界,154.0,130.0,73.42064714946072,
core,remove_citation,C0124,电力系统碳计量与低碳调度,163.0,159.0,66.29429892141756,
core,remove_citation,C0125,重整气化与合成气制氢,73.0,81.0,83.44568567026194,
core,remove_citation,C0127,质子交换及功能聚合物膜,62.0,93.0,81.14406779661016,
core,remove_citation,C0129,生物质与污泥厌氧消化产气,46.0,38.0,91.92989214175654,
core,remove_citation,C0130,能源网络安全与隐私保护,79.0,31.0,93.20107858243452,
core,remove_citation,C0132,超级电容器复合电极材料,19.0,42.0,91.4580123266564,
core,remove_citation,C0136,电力市场机制与产消者经济,119.0,84.0,82.3959938366718,
core,remove_citation,C0137,电解与其他路线制氢技术,41.0,55.0,89.13713405238829,
core,remove_citation,C0138,光伏出力预测与系统参数建模,43.0,27.0,93.96186440677964,
core,remove_citation,C0139,变压器油纸绝缘诊断,196.0,194.0,59.75539291217258,
core,remove_citation,C0140,厌氧微生物产甲烷机制,85.0,90.0,81.21147919876734,
core,remove_citation,C0143,微电网变流器协调与功率分配,63.0,53.0,89.43567026194145,
core,remove_citation,C0144,能源作物种植与生物质采收,170.0,140.0,70.05007704160246,
core,remove_citation,C0146,铁基催化剂与氧电催化,9.0,15.0,96.3308936825886,
core,remove_citation,C0150,储能技术与能量转换综述,124.0,154.0,67.30546995377503,
core,remove_citation,C0151,多孔碳吸附二氧化碳,29.0,32.0,93.10477657935284,
core,remove_citation,C0154,无线电能传输电路与系统,110.0,99.0,79.76694915254238,
core,remove_citation,C0155,电解水析氧催化,3.0,2.0,99.42218798151,
core,remove_citation,C0156,电力交易竞价与市场优化,89.0,71.0,85.93027734976889,
core,remove_citation,C0158,有机光伏材料、器件与载流子输运,18.0,19.0,95.43528505392912,
core,remove_citation,C0159,太阳辐照预测与光伏环境建模,98.0,78.0,84.53389830508475,
core,remove_citation,C0161,车辆操稳道路与轮胎交互,164.0,133.0,72.5924499229584,
core,remove_citation,C0164,输电线路雷电接地与电磁影响,195.0,177.0,62.25924499229584,
core,remove_citation,C0165,天然气供能与燃气动力系统,187.0,172.0,63.37634822804314,
core,remove_citation,C0166,多类太阳能电池结构与性能,92.0,95.0,80.97072419106317,
core,remove_citation,C0169,电池荷电状态健康状态与建模,35.0,41.0,91.46764252696455,
core,remove_citation,C0171,最优潮流与电网优化运行,160.0,136.0,71.85092449922959,
core,remove_citation,C0172,燃烧稳定与低污染排放,130.0,126.0,74.22958397534669,
core,remove_citation,C0176,光伏最大功率点跟踪,67.0,36.0,92.1995377503852,
core,remove_citation,C0181,聚变装置与粒子束工程,193.0,182.0,61.373266563944526,
core,remove_citation,C0183,通用控制器与电力控制算法,64.0,45.0,91.1113251155624,
core,remove_citation,C0185,风电场运行与功率优化,107.0,97.0,80.77812018489985,
core,remove_citation,C0186,煤热解气化与煤质特性,102.0,114.0,76.93567026194144,
core,remove_citation,C0189,风力机叶片与气动设计,44.0,19.0,95.43528505392912,
core,remove_citation,C0191,固态储氢材料与反应器,15.0,23.0,94.72265023112482,
core,remove_citation,C0195,碳捕集封存与碳移除系统,65.0,43.0,91.30392912172572,
core,remove_citation,C0196,混合动力与整车能量管理,50.0,35.0,92.3728813559322,
core,remove_citation,C0200,直流输电保护与故障限流,147.0,128.0,73.51694915254237,
core,remove_citation,C0205,电池测试表征与性能评估,86.0,82.0,82.88713405238828,
core,remove_citation,C0210,地热资源开发与换热,97.0,76.0,85.14060092449922,
core,remove_citation,C0211,直流变换器拓扑与设计,90.0,73.0,85.67989214175655,
core,remove_citation,C0212,等离子体波与高能粒子作用,149.0,121.0,75.38520801232666,
core,remove_citation,C0213,电力电缆绝缘与运行诊断,185.0,168.0,63.90600924499229,
core,remove_citation,C0216,电力可靠性与电气安全,176.0,139.0,70.2426810477658,
core,remove_citation,C0220,局部放电电晕与放电物理,192.0,184.0,61.35400616332819,
core,remove_citation,C0221,锂金属沉积与含锂电极材料,26.0,27.0,93.96186440677968,
core,remove_citation,C0222,木质纤维素预处理与生化转化,49.0,75.0,85.42950693374422,
core,remove_citation,C0223,泵水轮机与水力机械流动,105.0,88.0,81.50038520801233,
core,remove_citation,C0227,空调通风与空气处理,162.0,135.0,72.08204930662556,
core,remove_citation,C0228,能源审计与综合节能评估,145.0,104.0,78.9580123266564,
core,remove_citation,C0233,半导体光电化学水分解,25.0,49.0,90.41795069337442,
core,remove_citation,C0234,软开关谐振与交流变换器,167.0,146.0,69.28929121725731,
core,remove_citation,C0235,热电发电器件与热设计,95.0,69.0,86.01694915254238,
core,remove_citation,C0236,氢能供给加氢与系统集成,47.0,64.0,86.63328197226502,
core,remove_citation,C0237,分布式光伏部署与技术经济,45.0,5.0,99.03697996918336,
core,remove_citation,C0243,生物油热解与燃料升级,72.0,67.0,86.27696456086287,
core,remove_citation,C0245,碳基超级电容器电极,24.0,51.0,89.52234206471495,
core,remove_citation,C0246,虚拟电厂资源聚合与调度,171.0,201.0,58.7731124807396,
core,remove_citation,C0250,热力循环余热与联供系统,118.0,100.0,79.34322033898304,
core,remove_citation,C0251,充电站选址与充电调度,38.0,24.0,94.53967642526965,
core,remove_citation,C0252,热泵与区域供热供冷,121.0,101.0,79.20839753466872,
core,remove_citation,C0253,二氧化碳加氢与多类催化反应,36.0,56.0,89.0504622496148,
core,remove_citation,C0254,电催化析氢与界面调控,6.0,7.0,98.87326656394454,
core,remove_citation,C0258,综合能源系统协同管理与优化调度,23.0,4.0,99.21032357473034,
core,remove_citation,C0259,锂硫电池正极与多硫化物调控,30.0,58.0,88.81933744221881,
core,remove_citation,C0265,覆冰冻结与除冰传热,191.0,196.0,59.38944530046224,
core,remove_citation,C0271,沼气及多路线生物燃料,76.0,65.0,86.39252696456086,
core,remove_citation,C0275,风电发电机与并网控制,111.0,102.0,79.16024653312789,
core,remove_citation,C0276,锂离子电池负极材料,13.0,13.0,97.05315870570108,
core,remove_citation,C0278,整体电催化水分解,7.0,12.0,97.12057010785824,
core,remove_citation,C0285,热泵换热器与热管理设计,74.0,80.0,83.89830508474576,
core,remove_citation,C0286,燃料电池铂基催化剂,17.0,29.0,93.34553158705702,
core,remove_citation,C0287,核裂变聚变与核电工程,182.0,156.0,66.83359013867488,
core,remove_citation,C0293,电池系统管理与全寿命利用,42.0,25.0,94.39522342064714,
core,remove_citation,C0296,供水管网水力状态与节能调度,174.0,158.0,66.32318952234206,
core,remove_citation,C0297,废旧锂电池回收、分离与材料再生,27.0,50.0,89.75346687211093,
core,remove_citation,C0298,场效应晶体管结构与建模,161.0,151.0,68.08551617873651,
core,remove_citation,C0302,制冷循环与余热驱动制冷,84.0,108.0,78.20685670261942,
core,remove_citation,C0306,电能质量谐波检测与信号分析,175.0,145.0,69.37596302003081,
core,remove_citation,C0307,对流換热与换热器热工分析,93.0,62.0,87.08590138674884,
core,remove_citation,C0316,多种燃料燃烧与排放评估,139.0,118.0,76.10747303543913,
core,remove_citation,C0319,等离子体动力学与磁约束,197.0,188.0,60.97842835130971,
core,remove_citation,C0320,二氧化碳捕集材料与工艺,51.0,66.0,86.34437596302003,
core,remove_citation,C0327,风速与风电出力预测,117.0,122.0,74.83628659476118,
core,remove_citation,C0328,太阳能集热器与光热利用,56.0,33.0,92.52696456086284,
core,remove_citation,C0330,太阳能界面蒸发与海水淡化,13.0,21.0,94.97303543913712,
core,remove_citation,C0337,光伏跟踪与太阳能装置控制,201.0,202.0,58.58050847457626,
