family,category_id,name,baseline_rank,min_rank,median_rank,max_rank,top10_trial_fraction,formal_selected,unit_id,top1_trial_fraction
core,C0245,碳基超级电容器电极,24.0,20.0,23.0,27.0,0.0,True,,
core,C0246,虚拟电厂资源聚合与调度,171.0,166.0,171.0,179.0,0.0,False,,
core,C0250,热力循环余热与联供系统,118.0,112.0,119.0,134.0,0.0,False,,
core,C0251,充电站选址与充电调度,38.0,32.0,38.0,40.0,0.0,True,,
core,C0252,热泵与区域供热供冷,121.0,115.0,122.0,135.0,0.0,False,,
core,C0253,二氧化碳加氢与多类催化反应,36.0,32.0,36.0,40.0,0.0,False,,
core,C0254,电催化析氢与界面调控,6.0,5.0,6.0,6.0,1.0,True,,
core,C0258,综合能源系统协同管理与优化调度,23.0,18.0,23.0,31.0,0.0,False,,
core,C0259,锂硫电池正极与多硫化物调控,30.0,24.0,30.0,34.0,0.0,False,,
core,C0265,覆冰冻结与除冰传热,191.0,188.0,191.0,194.0,0.0,False,,
core,C0271,沼气及多路线生物燃料,77.0,69.0,76.0,80.0,0.0,False,,
core,C0275,风电发电机与并网控制,111.0,107.0,112.0,128.0,0.0,False,,
core,C0276,锂离子电池负极材料,14.0,13.0,13.0,14.0,0.0,False,,
core,C0278,整体电催化水分解,7.0,5.0,7.0,7.0,1.0,True,,
core,C0285,热泵换热器与热管理设计,74.0,70.0,75.0,78.0,0.0,False,,
core,C0286,燃料电池铂基催化剂,17.0,16.0,17.0,19.0,0.0,False,,
core,C0287,核裂变聚变与核电工程,182.0,180.0,182.0,183.0,0.0,False,,
core,C0293,电池系统管理与全寿命利用,42.0,41.0,42.0,46.0,0.0,False,,
core,C0296,供水管网水力状态与节能调度,174.0,173.0,174.0,176.0,0.0,False,,
core,C0297,废旧锂电池回收、分离与材料再生,27.0,24.0,28.0,30.0,0.0,False,,
core,C0298,场效应晶体管结构与建模,161.0,150.0,161.0,162.0,0.0,False,,
core,C0302,制冷循环与余热驱动制冷,84.0,74.0,83.0,90.0,0.0,False,,
core,C0306,电能质量谐波检测与信号分析,175.0,171.0,175.0,178.0,0.0,False,,
core,C0307,对流換热与换热器热工分析,93.0,85.0,93.0,100.0,0.0,False,,
core,C0316,多种燃料燃烧与排放评估,139.0,127.0,139.0,144.0,0.0,False,,
core,C0319,等离子体动力学与磁约束,197.0,196.0,197.0,197.0,0.0,False,,
core,C0320,二氧化碳捕集材料与工艺,51.0,50.0,52.0,57.0,0.0,False,,
core,C0327,风速与风电出力预测,117.0,111.0,116.5,120.0,0.0,False,,
core,C0328,太阳能集热器与光热利用,56.0,50.0,56.0,63.0,0.0,False,,
core,C0330,太阳能界面蒸发与海水淡化,13.0,13.0,14.0,15.0,0.0,False,,
core,C0337,光伏跟踪与太阳能装置控制,201.0,201.0,201.0,201.0,0.0,False,,
core,C0338,相变储热材料与传热增强,37.0,33.0,37.0,39.0,0.0,False,,
core,C0340,甲醇电氧化与贵金属催化剂,75.0,63.0,75.0,80.0,0.0,False,,
core,C0342,生物质热解气化与水热转化,54.0,47.0,54.0,66.0,0.0,False,,
core,C0343,锂电池热行为与安全机制,28.0,26.0,28.0,29.0,0.0,False,,
core,C0348,智能电网信息安全与韧性,80.0,76.0,80.0,85.0,0.0,False,,
core,C0369,多体系二次电池材料与电解液综述,10.0,8.0,10.0,12.0,0.97,False,,
core,C0371,太阳辐射测量估算与大气影响,173.0,169.0,173.0,176.0,0.0,False,,
core,C0372,电力节能与新能源应用泛论,194.0,192.0,194.0,196.0,0.0,False,,
core,C0378,纳米流体传热性质与强化,76.0,68.0,77.0,78.0,0.0,False,,
core,C0379,锅炉蒸汽系统与汽轮机运行,183.0,181.0,183.0,184.0,0.0,False,,
core,C0380,天然气管网供给与市场治理,200.0,200.0,200.0,200.0,0.0,False,,
core,C0381,光伏发电功率预测方法与装置,153.0,140.0,153.0,163.0,0.0,False,,
core,C0383,交通运输车辆与燃料效率,87.0,81.0,87.0,93.0,0.0,False,,
core,C0385,辐照材料损伤与稳定性,159.0,150.0,159.0,162.0,0.0,False,,
core,C0386,感应电机运行控制与性能,150.0,132.0,151.0,161.0,0.0,False,,
core,C0391,水力发电与水轮机系统,144.0,134.0,145.0,148.0,0.0,False,,
core,C0394,电力负荷需求与电价预测,55.0,52.0,56.0,60.0,0.0,False,,
core,C0407,水系锌电池负极及界面稳定,12.0,11.0,12.0,12.0,0.0,False,,
core,C0408,配电网重构与优化运行,112.0,109.0,112.0,124.0,0.0,False,,
core,C0412,质子交换膜燃料电池运行与建模,104.0,102.0,104.0,110.0,0.0,False,,
core,C0417,固体氧化物电解池与可逆电化学单元,91.0,88.0,91.0,98.0,0.0,False,,
core,C0420,碳化硅功率半导体器件,125.0,118.0,124.0,134.0,0.0,False,,
core,C0421,柴油机及多燃料内燃机性能,177.0,176.0,177.0,178.0,0.0,False,,
core,C0426,太阳能光热及光伏光热系统,40.0,38.0,40.0,45.0,0.0,False,,
core,C0427,通用电气工程应用与技术资料,202.0,202.0,202.0,202.0,0.0,False,,
core,C0430,电力系统电磁暂态与实时仿真,199.0,199.0,199.0,199.0,0.0,False,,
core,C0435,智能电表物联网与用能监测,157.0,139.0,157.0,164.0,0.0,False,,
core,C0436,钠离子电池电极材料,8.0,8.0,8.0,9.0,1.0,False,,
core,C0439,电气化铁路牵引与供电,198.0,198.0,198.0,198.0,0.0,False,,
core,C0443,建筑能效与居民供热用能,48.0,47.0,48.0,52.0,0.0,False,,
core,C0446,电力扰动孤岛及异常识别算法,39.0,31.0,39.0,41.0,0.0,False,,
core,C0448,水资源调度灌溉与水能利用,152.0,137.0,151.0,156.0,0.0,False,,
core,C0451,电力系统暂态电压与稳定性分析,108.0,104.0,108.0,127.0,0.0,False,,
core,C0452,风光储及混合能源系统配置,61.0,58.0,60.0,63.0,0.0,False,,
core,C0457,电网状态估计相量测量与系统分析,169.0,166.0,169.0,171.0,0.0,False,,
core,C0461,电催化制氨与氮循环反应,11.0,10.0,11.0,11.0,0.03,False,,
core,C0462,超导电力装置与故障限流,189.0,188.0,189.0,190.0,0.0,False,,
core,C0463,区域供热预测与热系统建模,99.0,96.0,99.0,102.0,0.0,False,,
core,C0464,潜热及热化学储热系统,71.0,61.0,71.0,75.0,0.0,False,,
core,C0465,功率因数校正与变流器电流控制,137.0,125.0,137.0,144.0,0.0,False,,
core,C0472,多电平逆变器拓扑与调制,133.0,122.0,133.0,143.0,0.0,False,,
core,C0473,二氧化碳地质封存与驱油,33.0,31.0,33.0,37.0,0.0,True,,
core,C0481,微生物燃料电池与生物产电,81.0,74.0,81.0,88.0,0.0,False,,
core,C0484,配电系统供电设备与可靠性,151.0,133.0,151.0,159.0,0.0,False,,
core,C0485,锂钠储能负极纳米材料,65.0,58.0,66.0,72.0,0.0,False,,
core,C0487,电池冷却与散热,58.0,47.0,59.0,71.0,0.0,False,,
core,C0501,钠电池电解液与界面,142.0,126.0,142.0,162.0,0.0,False,,
core,C0532,钙钛矿叠层太阳能电池,126.0,110.0,126.0,143.0,0.0,False,,
core,C0533,氮化镓功率与结器件,181.0,173.0,181.0,185.0,0.0,False,,
core,C0534,氢能技术经济与生命周期,129.0,113.0,130.0,148.0,0.0,False,,
core,C0552,微电网能量管理与经济调度,128.0,116.0,129.0,138.0,0.0,False,,
core,C0555,锌空气电池,134.0,116.0,134.0,157.0,0.0,False,,
core,C0556,水系锌离子电池,21.0,17.0,21.0,28.0,0.0,True,,
core,C0564,波浪能转换装置,179.0,171.0,179.0,183.0,0.0,False,,
core,C0576,碱性水电解制氢,131.0,114.0,131.0,154.0,0.0,False,,
core,C0577,质子交换膜水电解制氢,127.0,110.0,126.0,144.0,0.0,False,,
core,C0592,电池荷电状态估计,106.0,101.0,107.0,120.0,0.0,False,,
core,C0593,电池健康状态与寿命预测,68.0,53.0,68.0,80.0,0.0,False,,
core,C0598,锂资源提取与分离,109.0,98.0,110.0,126.0,0.0,False,,
core,C0616,锂金属负极界面稳定与枝晶抑制,115.0,99.0,115.0,131.0,0.0,False,,
core,C0622,谐振与软开关变换器,186.0,182.0,186.0,190.0,0.0,False,,
core,C0633,区域供热供冷系统,166.0,165.0,166.0,176.0,0.0,False,,
core,C0634,二氧化碳催化加氢与甲烷化,141.0,133.0,142.0,156.0,0.0,False,,
core,C0671,二氧化碳固体吸附捕集,113.0,107.0,113.0,123.0,0.0,False,,
core,C0672,漂浮式海上风电平台,132.0,118.0,133.0,146.0,0.0,False,,
core,C0675,风电出力预测,138.0,130.0,138.0,148.0,0.0,False,,
core,C0680,生物质气化制合成气,140.0,129.0,140.0,158.0,0.0,False,,
core,C0684,电池热失控与传播,123.0,107.0,123.0,140.0,0.0,False,,
core,C0700,永磁同步电机控制,168.0,167.0,168.0,174.0,0.0,False,,
core,C0712,电力负荷预测,165.0,155.0,165.0,170.0,0.0,False,,
core,C0714,层状及富镍锂电正极材料,103.0,89.0,103.0,114.0,0.0,False,,
core,C0723,光伏光热联合系统,136.0,122.0,136.0,151.0,0.0,False,,
core,C0727,钠离子电池负极材料,94.0,83.0,94.0,102.0,0.0,False,,
core,C0728,钠离子电池正极材料,78.0,58.0,78.0,91.0,0.0,False,,
core,C0744,潜热储热系统,95.0,86.0,96.5,103.0,0.0,False,,
emerging,C0024,海洋资源开发与海上工程,24.0,19.0,24.0,26.0,0.0,False,,
emerging,C0048,配电网柔性调度与协同规划,26.0,25.0,26.0,27.0,0.0,False,,
emerging,C0091,等离子体湍流与不稳定性,21.0,19.0,21.0,23.0,0.0,True,,
emerging,C0098,建筑与工业冷却节能,27.0,25.0,27.0,28.0,0.0,True,,
emerging,C0115,二氧化碳吸收溶解与水合物,35.0,34.0,35.0,36.0,0.0,False,,
emerging,C0121,波浪能装置与海洋水动力,12.0,10.0,12.0,14.0,0.136,False,,
emerging,C0124,电力系统碳计量与低碳调度,4.0,3.0,4.0,4.0,1.0,False,,
emerging,C0130,能源网络安全与隐私保护,1.0,1.0,1.0,1.0,1.0,False,,
emerging,C0140,厌氧微生物产甲烷机制,43.0,43.0,43.0,43.0,0.0,False,,
emerging,C0159,太阳辐照预测与光伏环境建模,44.0,44.0,44.0,44.0,0.0,False,,
emerging,C0186,煤热解气化与煤质特性,19.0,14.0,18.0,21.0,0.0,True,,
emerging,C0191,固态储氢材料与反应器,38.0,37.0,38.0,38.0,0.0,True,,
emerging,C0193,多设备温控与智能散热,33.0,31.0,33.0,34.0,0.0,False,,
emerging,C0210,地热资源开发与换热,11.0,9.0,11.0,13.0,0.184,True,,
emerging,C0216,电力可靠性与电气安全,32.0,30.0,32.0,33.0,0.0,True,,
emerging,C0227,空调通风与空气处理,30.0,30.0,31.0,32.0,0.0,False,,
emerging,C0246,虚拟电厂资源聚合与调度,23.0,18.0,23.0,24.0,0.0,True,,
emerging,C0251,充电站选址与充电调度,39.0,39.0,40.0,42.0,0.0,True,,
emerging,C0252,热泵与区域供热供冷,42.0,40.0,42.0,42.0,0.0,False,,
emerging,C0258,综合能源系统协同管理与优化调度,40.0,39.0,40.0,42.0,0.0,False,,
emerging,C0265,覆冰冻结与除冰传热,8.0,8.0,8.0,9.0,1.0,False,,
emerging,C0294,电池管理与均衡控制,16.0,13.0,16.0,20.0,0.0,True,,
emerging,C0308,变电站自动化与电网监控,3.0,2.0,3.0,4.0,1.0,False,,
emerging,C0327,风速与风电出力预测,31.0,29.0,31.0,33.0,0.0,False,,
emerging,C0348,智能电网信息安全与韧性,28.0,27.0,28.0,29.0,0.0,True,,
emerging,C0351,输配电线路视觉巡检与无人机检测,15.0,13.0,16.0,21.0,0.0,False,,
emerging,C0356,电力知识处理与智能决策系统,2.0,2.0,2.0,3.0,1.0,False,,
emerging,C0381,光伏发电功率预测方法与装置,7.0,7.0,7.0,7.0,1.0,True,,
emerging,C0435,智能电表物联网与用能监测,13.0,10.0,13.0,20.0,0.016,True,,
emerging,C0443,建筑能效与居民供热用能,37.0,35.0,37.0,38.0,0.0,True,,
emerging,C0446,电力扰动孤岛及异常识别算法,10.0,9.0,10.0,13.0,0.662,False,,
emerging,C0463,区域供热预测与热系统建模,9.0,8.0,9.0,11.0,0.998,False,,
emerging,C0473,二氧化碳地质封存与驱油,36.0,34.0,36.0,37.0,0.0,True,,
emerging,C0533,氮化镓功率与结器件,6.0,5.0,6.0,6.0,1.0,True,,
emerging,C0534,氢能技术经济与生命周期,34.0,33.0,34.0,38.0,0.0,True,,
emerging,C0542,光伏组件故障与缺陷检测,18.0,13.0,17.0,20.0,0.0,True,,
emerging,C0566,蒸汽重整制氢与合成气,17.0,10.0,16.0,23.0,0.004,True,,
emerging,C0600,直接空气捕碳,20.0,14.0,20.0,22.0,0.0,True,,
emerging,C0606,地热资源勘探与储层建模,5.0,5.0,5.0,6.0,1.0,False,,
emerging,C0656,动力电池梯次利用,22.0,18.0,23.0,24.0,0.0,False,,
emerging,C0665,换热器结构与传热强化,29.0,28.0,29.0,30.0,0.0,True,,
emerging,C0686,电网灾害韧性与恢复,25.0,24.0,25.0,27.0,0.0,False,,
emerging,C0713,电价预测,14.0,11.0,14.0,21.0,0.0,True,,
emerging,C0725,废塑料回收与转化,41.0,39.0,41.0,41.0,0.0,True,,
potential,U0246,虚拟电厂资源聚合、调度与市场履约,1.0,1.0,1.0,1.0,,True,U0246,1.0
potential,U0650,空气源热泵设备、运行与系统应用,3.0,2.0,3.0,4.0,,True,U0650,0.0
potential,U0356_KG,电力知识图谱与知识问答,2.0,2.0,2.0,4.0,,False,U0356_KG,0.0
potential,U0356_LLM,电力大模型辅助决策与运维,3.0,3.0,4.0,4.0,,True,U0356_LLM,0.0
