category_id,name,source,core_review_pass,emerging_review_pass,decision,reason,read_records,read_row_ids,patent_review_pass
C0146,铁基催化剂与氧电催化,paper,False,False,观察或降级,铁氧催化中心明确，但随机含非铁制氢、边界为泛电催化晶界综述。,5.0,4281109;4581630;4582127;4590389;4691643,
C0155,电解水析氧催化,paper,True,False,方向证据可用（含边界说明）,两条中心及一条随机支持析氧；4488147为污染物降解混入，作方向信号。,5.0,4202071;4283873;4347553;4432249;4488147,
C0158,有机光伏材料、器件与载流子输运,paper,False,False,观察或降级,中心与一条随机支持有机光伏，但另一随机为CIGS，边界为硅光阳极氧化；仍有非有机体系混入。,5.0,4246880;4287878;4470458;4536099;4646037,
C0169,电池荷电状态健康状态与建模,paper,True,False,方向证据可用（含边界说明）,补读15条：容量/健康状态预测4237233/4544828、退役电池老化4198124、寿命与等效电路4682564等支持电池状态与建模宽方向。含漏液传感4432671、热机械监测4511110、析锂图像4447846等邻近任务，6条仅题名；恢复核心跟踪，不将全类计为纯SOC/SOH估计论文。,15.0,4198124;4214071;4230919;4237233;4244896;4375325;4432671;4447165;4447846;4472835;4511110;4544828;4613891;4682564;4715307,
C0186,煤热解气化与煤质特性,paper,False,True,方向证据可用（含边界说明）,煤热解、煤质与防自燃证据一致，解释为既有煤技术近期升温。,5.0,4269010;4379408;4381479;4421475;4594375,
C0191,固态储氢材料与反应器,paper,True,False,方向证据可用（含边界说明）,储氢材料、金属氢化物及反应器支持明确；4262664是氧化铁表面还原邻近研究。,5.0,4162526;4246694;4262664;4437893;4633263,
C0193,多设备温控与智能散热,paper,False,False,观察或降级,教学汽车冷却、锅炉、杆件加热与便携设备混合，缺乏统一技术任务。,5.0,4212711;4428780;4431961;4439563;4568954,
C0210,地热资源开发与换热,paper,False,True,方向证据可用（含边界说明）,地热资源、热电联供和能源桩相符；含技术焦点介绍及矿井储热邻近方向，非全为同行评审原始研究。,5.0,4452340;4462816;4500999;4622696;4651159,
C0216,电力可靠性与电气安全,paper,False,True,方向证据可用（含边界说明）,继电保护、设备可靠性与电能质量支持成熟宽方向升温；含施工管理边界。,5.0,4374081;4448813;4609290;4609350;4619709,
C0221,锂金属沉积与含锂电极材料,paper,True,False,方向证据可用（含边界说明）,补读15条：锂沉积剥离4207779/4346607、金属负极保护4340206、石榴石界面4345925及枝晶4376470支持主方向。含补锂再生、富锂正极和硅负极等电极分支，也有钯回收4207798、MgH2储氢4608325误入及通用电解液邻近研究；6条仅题名。仅按锂金属及含锂电极材料宽方向恢复，不将1535条解释为纯锂金属沉积。,15.0,4157316;4207779;4207798;4230910;4293766;4340206;4345925;4346607;4376470;4443079;4569231;4590540;4608325;4612406;4624223,
C0227,空调通风与空气处理,paper,False,False,观察或降级,空调中心相符，但4565584为服务广告refs、边界为工业压缩空气；清理不足。,5.0,4287910;4409123;4502814;4502957;4565584,
C0233,半导体光电化学水分解,paper,False,False,观察或降级,含封面简介4152538、有机氟烷基化4178801及光催化/光电化学多路线，保留观察。,5.0,4152538;4165589;4178801;4198873;4507716,
C0246,虚拟电厂资源聚合与调度,paper,False,True,方向证据可用（含边界说明）,资源聚合、多市场投标和VPP调度的中心、随机与边界一致。,5.0,4287143;4373371;4430726;4448551;4586084,
C0251,充电站选址与充电调度,paper,True,False,方向证据可用（含边界说明）,补读15条：充电策略4577787、网络配置与调度4596466、设施规划4284458、车队路径与充电4417264及协调3968076支持规划/调度宽方向。含需求预测、充电安全4213924、消防救援4504507及补贴扩散4252279等邻近任务，4条仅题名；恢复核心跟踪，不将全类视为纯选址算法或纯V2G研究。,15.0,3968076;4174595;4213924;4229201;4252279;4262813;4269663;4284458;4417264;4504507;4577787;4596466;4639276;4654439;4704474,
C0252,热泵与区域供热供冷,paper,False,False,观察或降级,热泵与储热、概念性全球热基础设施混合，暂不列专门新兴重点。,5.0,4039554;4301273;4512578;4645762;4767519,
C0254,电催化析氢与界面调控,paper,True,False,方向证据可用（含边界说明）,中心和随机支持析氢；4225206主任务是抑制析氢并加氢，保留反向任务误分说明。,5.0,4225206;4479167;4592608;4631206;4711973,
C0258,综合能源系统协同管理与优化调度,paper,False,False,观察或降级,数据重建、购电预测、多能管理及合成数据混合，不作单一技术热点。,5.0,4386375;4469327;4531619;4622301;4648758,
C0265,覆冰冻结与除冰传热,paper,False,False,观察或降级,中心冰蓄冷与随机隧道冻结、边界压缩空气储能混合，不构成一致除冰方向。,5.0,4176460;4250451;4404917;4538544;4645934,
C0276,锂离子电池负极材料,paper,True,False,方向证据可用（含边界说明）,锂离子电池负极材料证据一致；随机样本仅题名，需结合文本质量敏感性使用。,5.0,4173901;4547553;4547674;4675832;4679134,
C0278,整体电催化水分解,paper,True,False,方向证据可用（含边界说明）,中心和一条随机支持双功能/整体水分解；含仅析氢子反应研究，不能看作逐条纯整体体系。,5.0,4293802;4298430;4542881;4564480;4586695,
C0286,燃料电池铂基催化剂,paper,False,False,观察或降级,铂氧还原中心有支持，但随机为甲醛氧化、边界为RuCo析氧，不能承载燃料电池铂催化总量。,5.0,4173576;4376212;4561699;4576181;4766173,
C0294,电池管理与均衡控制,paper,False,True,方向证据可用（含边界说明）,BMS、数字孪生、状态建模与均衡证据相符；中心同题名重复，需通过去重敏感性。,5.0,4205127;4238862;4475391;4475734;4493300,
C0297,废旧锂电池回收、分离与材料再生,paper,False,False,观察或降级,中心回收方向明确，但随机含煤矸石提锂、边界为铅酸回收；不将全数当作废锂电回收。,5.0,4128914;4235965;4292358;4451609;4513586,
C0303,照明灯具与光学部件,paper,False,False,观察或降级,光纤通信/供能与照明混合，并有异常概念文本，暂不入重点。,5.0,4165040;4342851;4570220;4645154;4747711,
C0307,对流換热与换热器热工分析,paper,False,False,观察或降级,换热器、冶金冷却、聚变冷却和航天热环境跨场景；保留通用传热背景观察。,5.0,4248472;4356817;4456395;4509607;4552150,
C0308,变电站自动化与电网监控,paper,False,False,观察或降级,PLC、SCADA、油气管道和通用控制混入，不能代表变电站专门方向。,5.0,4218961;4250224;4269021;4280521;4377501,
C0327,风速与风电出力预测,paper,False,False,观察或降级,风电预测中心明确，但随机水电预测、边界虚拟惯量及风廓线测量跨任务。,5.0,4364038;4501417;4513032;4590004;4598888,
C0330,太阳能界面蒸发与海水淡化,paper,False,False,观察或降级,随机含太阳烟囱除甲烷和泛废水处理，边界为温室除湿，界面蒸发范围仍不一致。,5.0,4211106;4238068;4444526;4451723;4601545,
C0343,锂电池热行为与安全机制,paper,True,False,方向证据可用（含边界说明）,电热耦合、循环温度及安全证据明确；4429185为废电池预处理，仅题名不足确认热安全。,5.0,4299597;4429185;4474169;4610351;4659636,
C0348,智能电网信息安全与韧性,paper,False,True,方向证据可用（含边界说明）,智能电网安全、电力市场隐私及VPP攻击相符；含金融审计和能源资产风险邻近记录。,5.0,4205530;4231218;4614098;4664384;4673949,
C0351,输配电线路视觉巡检与无人机检测,paper,False,False,观察或降级,中心重复，随机PCBA和变电站土建检测，边界施工防护用品，不足支撑线路视觉巡检。,5.0,4286810;4563935;4564655;4611232;4673809,
C0356,电力知识处理与智能决策系统,paper,False,False,观察或降级,含汽车企业BI、通用AI治理及废物数据系统，不采用其类内论文增速作电力新兴结论。,5.0,4411354;4438049;4511759;4562153;4571179,
C0369,多体系二次电池材料与电解液综述,paper,False,False,观察或降级,跨体系电解液、锂金属与固态电池，且含原始研究而非全为综述；不作同粒度重点。,5.0,4210349;4220966;4563368;4591485;4705838,
C0381,光伏发电功率预测方法与装置,paper,False,True,方向证据可用（含边界说明）,本次两条中心、一条随机及边界均明确光伏预测；另一随机是用电负荷，仍保留误分提示。,5.0,4446288;4479380;4493841;4534834;4611099,
C0407,水系锌电池负极及界面稳定,paper,False,False,观察或降级,随机覆盖碘/硫反应和电解液，边界4505402为镁负极；不能解释为单一锌负极方向。,5.0,4177461;4184930;4216520;4223722;4505402,
C0435,智能电表物联网与用能监测,paper,False,True,方向证据可用（含边界说明）,智能用能监测和能源IoT支持明确，兼含变压器保护和电源切换；非纯电表器件。,5.0,4540549;4547002;4618896;4683218;4769337,
C0436,钠离子电池电极材料,paper,False,False,观察或降级,中心及随机仍有锂氧、锂离子和通用固态电解质；不能把全部数量归为钠离子电极。,5.0,4271185;4292340;4357228;4580604;4608720,
C0443,建筑能效与居民供热用能,paper,False,True,方向证据可用（含边界说明）,建筑能耗、居民供能及灰色能耗相符；包括学位论文。,5.0,4290684;4374745;4374970;4637343;4720081,
C0446,电力扰动孤岛及异常识别算法,paper,False,False,观察或降级,电能质量识别、光伏异常诊断与孤岛任务未统一，保留算法背景观察。,5.0,4182484;4473714;4500586;4568660;4615967,
C0461,电催化制氨与氮循环反应,paper,False,False,观察或降级,电催化亚硝酸盐制氨与电芬顿净水、氨分解储氢并存，独立任务未统一。,5.0,4185500;4237021;4379438;4404004;4659617,
C0463,区域供热预测与热系统建模,paper,False,False,观察或降级,材料热导率、开关柜、离合器与聚变热系统混合，与区域供热专名不符。,5.0,4279333;4376240;4384855;4442792;4496302,
C0473,二氧化碳地质封存与驱油,paper,True,False,方向证据可用（含边界说明）,地质储碳、注入、地球化学及断层稳定证据一致；为封存与驱油相关宽方向。,5.0,4165888;4174618;4219093;4406880;4531026,
C0533,氮化镓功率与结器件,paper,False,True,方向证据可用（含边界说明）,GaN HEMT、开关损耗、阈值及辐照证据一致；含RF器件，不能全部解释为电网功率转换。,5.0,4232237;4470957;4504595;4508228;4579453,
C0542,光伏组件故障与缺陷检测,paper,False,True,方向证据可用（含边界说明）,I-V诊断、组件在线故障及光伏智能诊断相符；含电站层面的运维，不是单一故障机制。,5.0,4536564;4543730;4591333;4654026;4767771,
C0556,水系锌离子电池,paper,True,False,方向证据可用（含边界说明）,五条样本均涉及水系或凝胶锌离子电池，覆盖正负极及电解质；不解读为单一部件路线。,5.0,4181198;4225153;4437762;4458084;4503220,
C0600,直接空气捕碳,paper,False,True,方向证据可用（含边界说明）,直接空气捕碳综述、吸附材料与生物途径均明确，包含与海洋增碱对比研究。,5.0,4169817;4190089;4252221;4468026;4473345,
C0606,地热资源勘探与储层建模,paper,False,False,观察或降级,三条涉及地热资源/储层，但4406646主任务为盐穴界面监测，4394207为膨胀机循环性能；窄类别仍跨任务。,5.0,4382752;4394207;4406646;4597072;4637762,
C0665,换热器结构与传热强化,paper,False,True,方向证据可用（含边界说明）,换热器结构、流动与传热强化五条一致；成熟工程方向近期升温。,5.0,4298846;4399086;4413782;4561618;4636439,
C0713,电价预测,paper,False,True,方向证据可用（含边界说明）,中长期、日前、跨境和价格趋势预测证据一致。,5.0,4246111;4496901;4608078;4648553;4737741,
C0035,,patent,False,False,混杂或范围过宽，降为观察,集热、供暖和干化样本为主，但混入光伏清洗；只确认一组直接部署政策。,,,False
C0079,,patent,False,False,应用方向支持（有范围限制）,四条有正文样本涉及燃料电池循环、运行和控制，一条仅题名；仅一组试点政策，跨标签相对份额略低于1.25。,,,True
C0087,,patent,False,False,混杂或范围过宽，降为观察,覆盖制氢、液氢储罐、缓释材料和制氧电解质，范围宽；扩展文献背景后无相对专利优势。,,,False
C0090,,patent,False,False,应用方向支持（有范围限制）,充电调度、导引和安全控制有直接证据，兼含通用充电器及桩体；不能把全类计成V2G，跨标签优势消失。,,,True
C0097,,patent,False,False,混杂或范围过宽，降为观察,混入供配电集成及不可靠磁体发电叙述，永磁电机、励磁发电机与结构任务未充分区分；不列潜在重点。,,,False
C0099,,patent,False,False,混杂或范围过宽，降为观察,有电网无人机检修证据，也混入船舶管弄巡检、飞机冷却电机和通用机库；政策为安全活动。,,,False
C0102,,patent,False,False,应用方向支持（有范围限制）,电弧、整流器和电力故障诊断有直接证据，含软开关及通用短路模型邻近任务；仅一组研发支持。,,,True
C0108,,patent,False,False,应用方向支持（有范围限制）,储能群黑启动、充放电控制与应急调度有证据，边界为通用负载控制；已读政策仅合规。,,,True
C0124,,patent,False,False,混杂或范围过宽，降为观察,三条电碳计量/低碳调度，另两条为火电碳捕集，当前标签仍混杂；跨标签优势消失。,,,False
C0163,,patent,False,False,混杂或范围过宽，降为观察,分布式电源配置、承载力有支持，混有乡村多能规划及谐波计量；不能整体视作接入技术先行。,,,False
C0190,,patent,False,False,混杂或范围过宽，降为观察,主要包括广义源荷储调节与负荷资源，混入压缩空气储能；专门充电负荷预测证据不足。,,,False
C0193,,patent,False,False,混杂或范围过宽，降为观察,热泵、电机散热和UPS液冷混合，且有术中患者保暖；不可将全类解读为能源温控热点。,,,False
C0199,,patent,False,False,混杂或范围过宽，降为观察,UPS、住宅供配电、车载电源、风光热储规划与光储充同时存在；政策只支持其中具体任务，整体领先判断不成立。,,,False
C0246,,patent,False,False,应用方向支持（有范围限制）,四条直接支持虚拟电厂聚合、调度与协调控制，边界有构网变流器误分；仅作已有学术基础上的应用机会。,,,True
C0294,,patent,False,False,应用方向支持（有范围限制）,BMS、均衡与SOC监测样本一致；政策主要安全质量整治，不能当成新技术研发突破。,,,True
C0297,,patent,False,False,应用方向支持（有范围限制）,五条均涉及废旧锂电材料回收分离再生；政策是回收部署，未指向某条化学路线。,,,True
C0309,,patent,False,False,混杂或范围过宽，降为观察,充电设备、移动系统、停车消防并存，政策V2G只对应部分内容，不能整体外推。,,,False
C0356,,patent,False,False,应用方向支持（有范围限制）,已读配电数据融合、知识处理、管控和治理均属电力数据决策应用，但不全是大模型/智能体；仅限定应用切口跟踪。,,,True
C0370,,patent,False,False,应用方向支持（有范围限制）,电池检测、监测诊断有证据，一条仅题名、一条为充电桩故障告警；跨标签无相对优势。,,,True
C0381,,patent,False,False,应用方向支持（有范围限制）,四条光伏预测一致，边界为充电功率预测；相关论文跨标签较多，不能据单类论文少称学术空白。,,,True
C0392,,patent,False,False,应用方向支持（有范围限制）,四条电压无功与补偿控制，混入抢修物资调配；政策为合规，跨标签无优势。,,,True
C0404,,patent,False,False,混杂或范围过宽，降为观察,空调能效之外混有风机散热、手术室净化、液流电池环境控制，当前计数不代表纯空调方向。,,,False
C0422,,patent,False,False,应用方向支持（有范围限制）,配电调度、供电能力与运维样本支持广义任务，含全网预防控制；只有一组部署支持。,,,True
C0467,,patent,False,False,混杂或范围过宽，降为观察,燃料电池电堆与锂电热失控消防、壳体混杂，一条仅题名；不作全类先行判断。,,,False
C0470,,patent,False,False,混杂或范围过宽，降为观察,储能集成与控制有证据，同时包含电动飞机任务和计算设备电源；仍为跨场景宽类。,,,False
C0509,,patent,False,False,应用方向支持（有范围限制）,四条唯一记录支持太阳热水与供热，抽样角色有重叠；仅一组政策支持。,,,True
C0525,,patent,False,False,应用方向支持（有范围限制）,五条支持储能选址定容与功率能量配置；跨标签文献积累多，相对专利优势不成立。,,,True
C0550,,patent,False,False,应用方向支持（有范围限制）,四条变压器故障诊断明确，一条实为内检机器人电机控制；仅合规支持。,,,True
C0643,,patent,False,False,应用方向支持（有范围限制）,输电线路及风机叶片覆冰除冰样本一致；两种设施并存，跨标签相对优势不成立。,,,True
C0650,,patent,False,False,应用方向支持（有范围限制）,低温空气源热泵、系统耦合和进气控制证据一致，含机组安装结构；多地部署支持，跨标签优势温和，属于成熟技术应用机会。,,,True
