category_id,category_index,name,domain,status,analysis_scope,documents,needs_review_documents,supported_documents
C0060,59,超级电容器电极与器件,电化学储能,方向候选,能源电力直接相关,28623,95,26907
C0061,60,有机合成与分子功能材料,其他基础与关联学科,关联基础研究,关联基础或环境研究,16956,877,0
C0062,61,热工设备换热与工况分析,热工与能效,混杂待重分,质量限制观察,10988,10988,0
C0063,62,生物质热解与炭化,生物质与资源循环,方向候选,能源电力直接相关,16544,1180,4885
C0064,63,锂钠电池电解液与正极配方,电化学储能,混杂待重分,质量限制观察,3043,3043,0
C0065,64,电磁兼容干扰与电缆检测,电力电子与电机,混杂待重分,质量限制观察,9067,9067,0
C0066,65,环境税费补贴与市场规制,碳与环境,宽泛待细分,关联基础或环境研究,13266,13266,0
C0067,66,钙钛矿太阳能电池界面与器件性能,太阳能,宽泛待细分,能源电力直接相关,23090,23090,0
C0068,67,水热溶剂热合成与功能材料,能源材料与电化学基础,混杂待重分,质量限制观察,8405,8405,0
C0069,68,宽禁带半导体外延与结器件,电力电子与电机,宽泛待细分,能源电力直接相关,10227,10227,0
C0070,69,气象水文预测与环境评估,数字技术与测量,宽泛待细分,关联基础或环境研究,8178,8178,0
C0071,70,功能聚合物合成与结构,能源材料与电化学基础,关联基础研究,关联基础或环境研究,17650,308,0
C0072,71,氢能产业与制氢技术经济,氢能与燃料电池,宽泛待细分,能源电力直接相关,10314,10314,0
C0073,72,电极过程与电化学沉积,能源材料与电化学基础,宽泛待细分,关联基础或环境研究,16800,16800,0
C0074,73,通用防护支撑与安装结构混杂簇073,制造与通用装置,混杂待重分,质量限制观察,2048,2048,0
C0075,74,铋基氧化物光催化材料,能源材料与电化学基础,方向候选,关联基础或环境研究,9178,1896,0
C0076,75,通用催化剂与催化反应工程,能源材料与电化学基础,宽泛待细分,关联基础或环境研究,18071,18071,0
C0077,76,机电传动与运动执行装置,电力电子与电机,宽泛待细分,能源电力直接相关,2866,2866,0
C0078,77,充电连接与通用部件混合,交通与充电,混杂待重分,质量限制观察,2245,2245,0
C0079,78,燃料电池系统运行控制,氢能与燃料电池,方向候选,能源电力直接相关,2150,169,0
C0080,79,污染物光催化降解,碳与环境,方向候选,关联基础或环境研究,14060,2289,0
C0081,80,电力市场与售电制度政策,能源政策与治理,政策类群,能源治理与政策研究,1033,106,0
C0082,81,智能电网体系与通信,电网与电力系统,宽泛待细分,能源电力直接相关,11967,11967,0
C0083,82,配电网电压无功与电能质量,电网与电力系统,宽泛待细分,能源电力直接相关,11053,11053,0
C0084,83,电池单体电极及模组结构,电化学储能,宽泛待细分,能源电力直接相关,4706,4706,0
C0085,84,多类功能薄膜与纳米器件,能源材料与电化学基础,混杂待重分,质量限制观察,7945,7945,0
C0086,85,光伏组件性能建模与故障检测,太阳能,宽泛待细分,能源电力直接相关,13829,13829,0
C0087,86,制氢储氢与加氢系统,氢能与燃料电池,宽泛待细分,能源电力直接相关,2088,2088,0
C0088,87,污水厌氧处理与产能回收,生物质与资源循环,宽泛待细分,能源电力直接相关,11007,11007,0
C0089,88,信号处理测量与电力扰动,数字技术与测量,宽泛待细分,关联基础或环境研究,17989,17989,0
C0090,89,电动汽车充电控制,交通与充电,方向候选,能源电力直接相关,2994,67,0
C0091,90,等离子体湍流与不稳定性,核能与等离子体,方向候选,能源电力直接相关,11517,229,0
C0092,91,天然气输配与气价政策,能源政策与治理,政策类群,能源治理与政策研究,579,1,0
C0093,92,电能变换波浪能与互感器混合,电力电子与电机,混杂待重分,质量限制观察,11005,11005,0
C0094,93,晶体缺陷外延与变形,能源材料与电化学基础,关联基础研究,关联基础或环境研究,9428,88,0
C0095,94,泄漏检测与多设备状态监测,数字技术与测量,混杂待重分,质量限制观察,3359,3359,0
C0096,95,电力设备通信与控制系统,数字技术与测量,宽泛待细分,能源电力直接相关,3299,3299,0
C0097,96,永磁电机与磁路设计,电力电子与电机,宽泛待细分,能源电力直接相关,4701,4701,0
C0098,97,建筑与工业冷却节能,热工与能效,宽泛待细分,能源电力直接相关,10115,10115,0
C0099,98,无人机巡检与电网作业,数字技术与测量,方向候选,能源电力直接相关,1654,31,0
C0100,99,磁重联与磁场材料效应,核能与等离子体,混杂待重分,质量限制观察,13025,13025,0
C0101,100,人类世生态危机与社会转型,其他基础与关联学科,关联基础研究,关联基础或环境研究,9450,2,0
C0102,101,电力设备与线路故障检测、定位和诊断,电网与电力系统,宽泛待细分,能源电力直接相关,21019,21019,0
C0103,102,金属基复合材料与耐磨制造,能源材料与电化学基础,关联基础研究,关联基础或环境研究,10563,104,0
C0104,103,发动机燃气轮机与动力机械,化石能源,宽泛待细分,能源电力直接相关,11593,11593,0
C0105,104,微电网能量管理与优化,电网与电力系统,方向候选,能源电力直接相关,10962,2983,0
C0106,105,电动汽车推广与整车能耗,交通与充电,宽泛待细分,能源电力直接相关,11899,11899,0
C0107,106,模板化晶体数据库记录,其他基础与关联学科,外围或非研究文本,质量限制观察,10465,10465,0
C0108,107,储能充放电与变流控制,电化学储能,宽泛待细分,能源电力直接相关,2002,2002,0
C0109,108,水系锌电池与锌空气电池,电化学储能,宽泛待细分,能源电力直接相关,9518,9518,0
C0110,109,电气柜密封防护与开关部件,电网与电力系统,混杂待重分,质量限制观察,2606,2606,0
C0111,110,机柜装配与通用机械部件,制造与通用装置,混杂待重分,质量限制观察,3155,3155,0
C0112,111,电站锅炉汽轮机与设备运维,化石能源,混杂待重分,质量限制观察,8434,8434,0
C0113,112,二氧化钛光催化材料与反应,能源材料与电化学基础,宽泛待细分,关联基础或环境研究,38720,38720,0
C0114,113,水分离采集与流体界面技术,热工与能效,混杂待重分,质量限制观察,11433,11433,0
C0115,114,二氧化碳吸收溶解与水合物,碳与环境,宽泛待细分,能源电力直接相关,10722,10722,0
C0116,115,电源装置与供电电路结构,电力电子与电机,宽泛待细分,能源电力直接相关,2180,2180,0
C0117,116,制冷循环工质与能效,热工与能效,宽泛待细分,能源电力直接相关,11564,11564,0
C0118,117,煤矿产能及经营公告,能源政策与治理,政策类群,能源治理与政策研究,298,1,0
C0119,118,煤矿安全生产与许可管理,能源政策与治理,政策类群,能源治理与政策研究,590,1,0
C0120,119,电力载波与通信传输,数字技术与测量,宽泛待细分,能源电力直接相关,12726,12726,0
C0121,120,波浪能装置与海洋水动力,风能与水能海洋能源,宽泛待细分,能源电力直接相关,17713,17713,0
C0122,121,热电材料与热电性能优化,能源材料与电化学基础,方向候选,能源电力直接相关,28891,3584,860
C0123,122,磁约束等离子体运行与边界,核能与等离子体,方向候选,能源电力直接相关,12766,2459,0
C0124,123,电力系统碳计量与低碳调度,碳与环境,宽泛待细分,能源电力直接相关,3391,3171,219
C0125,124,重整气化与合成气制氢,氢能与燃料电池,宽泛待细分,能源电力直接相关,11227,11227,0
C0126,125,氮化碳及复合光催化材料,能源材料与电化学基础,宽泛待细分,关联基础或环境研究,15701,15701,0
C0127,126,质子交换及功能聚合物膜,氢能与燃料电池,宽泛待细分,能源电力直接相关,13564,13564,0
C0128,127,石墨烯复合材料与多场景应用,能源材料与电化学基础,宽泛待细分,关联基础或环境研究,19841,19841,0
C0129,128,生物质与污泥厌氧消化产气,生物质与资源循环,方向候选,能源电力直接相关,15747,1930,2150
C0130,129,能源网络安全与隐私保护,数字技术与测量,方向候选,能源电力直接相关,12250,91,0
C0131,130,光伏电池及组件结构制造,太阳能,宽泛待细分,能源电力直接相关,2674,2674,0
C0132,131,超级电容器复合电极材料,电化学储能,方向候选,能源电力直接相关,12789,3858,0
C0133,132,排放交易与污染治理政策研究,碳与环境,宽泛待细分,能源电力直接相关,16000,16000,0
C0134,133,功能薄膜沉积与表征,能源材料与电化学基础,关联基础研究,关联基础或环境研究,13172,162,0
C0135,134,电连接器接线与端口结构,电力电子与电机,宽泛待细分,能源电力直接相关,2483,2483,0
C0136,135,电力市场机制与产消者经济,电网与电力系统,宽泛待细分,能源电力直接相关,19158,19158,0
C0137,136,电解与其他路线制氢技术,氢能与燃料电池,宽泛待细分,能源电力直接相关,11821,11821,0
C0138,137,光伏出力预测与系统参数建模,太阳能,宽泛待细分,能源电力直接相关,10193,10193,0
C0139,138,变压器油纸绝缘诊断,电网与电力系统,方向候选,能源电力直接相关,5471,192,0
C0140,139,厌氧微生物产甲烷机制,生物质与资源循环,方向候选,能源电力直接相关,11081,288,0
C0141,140,半导体载流子与电荷输运,能源材料与电化学基础,关联基础研究,关联基础或环境研究,14702,309,0
C0142,141,电机转子定子与装配结构,电力电子与电机,宽泛待细分,能源电力直接相关,2327,2327,0
C0143,142,微电网变流器协调与功率分配,电网与电力系统,方向候选,能源电力直接相关,11721,2181,0
C0144,143,能源作物种植与生物质采收,生物质与资源循环,方向候选,能源电力直接相关,10637,272,0
C0145,144,陆面气象与蒸散估计,其他基础与关联学科,关联基础研究,关联基础或环境研究,11328,71,0
C0146,145,铁基催化剂与氧电催化,能源材料与电化学基础,宽泛待细分,能源电力直接相关,11540,11540,0
C0147,146,节能减排财政资金安排,能源政策与治理,政策类群,能源治理与政策研究,240,0,0
C0148,147,电极与电机铁芯制造装置,制造与通用装置,混杂待重分,质量限制观察,2006,2006,0
C0149,148,临床疾病与健康研究,其他基础与关联学科,外围或非研究文本,质量限制观察,9305,9305,0
C0150,149,储能技术与能量转换综述,电化学储能,宽泛待细分,能源电力直接相关,4282,4282,0
C0151,150,多孔碳吸附二氧化碳,碳与环境,方向候选,能源电力直接相关,15323,3889,754
C0152,151,镁基及多组元合金性质,能源材料与电化学基础,关联基础研究,关联基础或环境研究,11885,64,0
C0153,152,硅基材料与碳化硅陶瓷,能源材料与电化学基础,混杂待重分,质量限制观察,12386,12386,0
C0154,153,无线电能传输电路与系统,电力电子与电机,方向候选,能源电力直接相关,12987,217,4887
C0155,154,电解水析氧催化,氢能与燃料电池,方向候选,能源电力直接相关,21799,2379,5379
C0156,155,电力交易竞价与市场优化,电网与电力系统,方向候选,能源电力直接相关,12402,715,425
C0157,156,水工引水排水与杂项装置,制造与通用装置,混杂待重分,质量限制观察,2210,2210,0
C0158,157,有机光伏材料、器件与载流子输运,太阳能,宽泛待细分,能源电力直接相关,22530,22530,0
C0159,158,太阳辐照预测与光伏环境建模,太阳能,宽泛待细分,能源电力直接相关,7709,7709,0
C0160,159,通用互联网协议与通信网络,数字技术与测量,关联基础研究,关联基础或环境研究,13675,35,0
C0161,160,车辆操稳道路与轮胎交互,交通与充电,宽泛待细分,能源电力直接相关,9559,9559,0
C0162,161,电气传感与多设备测量,数字技术与测量,宽泛待细分,能源电力直接相关,5216,5216,0
C0163,162,分布式电源接入与配电网运行,电网与电力系统,方向候选,能源电力直接相关,3542,597,0
C0164,163,输电线路雷电接地与电磁影响,电网与电力系统,宽泛待细分,能源电力直接相关,11542,11542,0
C0165,164,天然气供能与燃气动力系统,化石能源,宽泛待细分,能源电力直接相关,8085,8085,0
C0166,165,多类太阳能电池结构与性能,太阳能,宽泛待细分,能源电力直接相关,12467,12467,0
C0167,166,晶硅异质结与硅基光伏制造,太阳能,方向候选,能源电力直接相关,14347,2965,0
C0168,167,粒子束辐照与半导体材料缺陷,核能与等离子体,关联基础研究,关联基础或环境研究,8490,156,0
C0169,168,电池荷电状态健康状态与建模,电化学储能,宽泛待细分,能源电力直接相关,7680,7680,0
C0170,169,能源转型与能源安全研究,能源政策与治理,宽泛待细分,能源治理与政策研究,20605,20605,0
C0171,170,最优潮流与电网优化运行,电网与电力系统,方向候选,能源电力直接相关,10617,520,0
C0172,171,燃烧稳定与低污染排放,化石能源,方向候选,能源电力直接相关,13452,323,0
C0173,172,电池正极改性与再生工艺,电化学储能,宽泛待细分,能源电力直接相关,2668,2668,0
C0174,173,电力负荷预测与短路等系统计算混合,电网与电力系统,混杂待重分,质量限制观察,4483,4483,0
C0175,174,空化流动与水动力,热工与能效,关联基础研究,关联基础或环境研究,11501,110,0
C0176,175,光伏最大功率点跟踪,太阳能,方向候选,能源电力直接相关,16567,1269,0
C0177,176,纳米结构输运与器件基础,能源材料与电化学基础,关联基础研究,关联基础或环境研究,11231,74,0
C0178,177,离子液体与电解质基础,能源材料与电化学基础,宽泛待细分,关联基础或环境研究,11504,11504,0
C0179,178,超导与量子材料基础,能源材料与电化学基础,关联基础研究,关联基础或环境研究,6121,467,0
C0180,179,电池组结构均衡与供能电路,电化学储能,宽泛待细分,能源电力直接相关,3509,3509,0
C0181,180,聚变装置与粒子束工程,核能与等离子体,宽泛待细分,能源电力直接相关,10669,10669,0
C0182,181,导航定位与遥感观测,数字技术与测量,关联基础研究,关联基础或环境研究,9124,16,0
C0183,182,通用控制器与电力控制算法,数字技术与测量,宽泛待细分,能源电力直接相关,17208,17208,0
C0184,183,卤化物钙钛矿结构、光电物性与发光,能源材料与电化学基础,关联基础研究,关联基础或环境研究,30730,913,0
C0185,184,风电场运行与功率优化,风能与水能海洋能源,方向候选,能源电力直接相关,13574,944,0
C0186,185,煤热解气化与煤质特性,化石能源,方向候选,能源电力直接相关,11798,209,0
C0187,186,通用反应分离与气液处理装置,制造与通用装置,混杂待重分,质量限制观察,1968,1968,0
C0188,187,欧洲能源转型与能源政策研究,能源政策与治理,宽泛待细分,能源治理与政策研究,16861,16861,0
C0189,188,风力机叶片与气动设计,风能与水能海洋能源,方向候选,能源电力直接相关,20539,386,0
C0190,189,充电负荷预测与园区用电调配,交通与充电,宽泛待细分,能源电力直接相关,1687,1687,0
C0191,190,固态储氢材料与反应器,氢能与燃料电池,方向候选,能源电力直接相关,16891,965,2264
C0192,191,含锂化合物与锂金属界面,电化学储能,混杂待重分,质量限制观察,12223,12223,0
C0193,192,多设备温控与智能散热,热工与能效,宽泛待细分,能源电力直接相关,4406,4406,0
C0194,193,股票价格与通用金融预测,其他基础与关联学科,外围或非研究文本,质量限制观察,12328,12328,0
C0195,194,碳捕集封存与碳移除系统,碳与环境,宽泛待细分,能源电力直接相关,13262,13262,0
C0196,195,混合动力与整车能量管理,交通与充电,方向候选,能源电力直接相关,15676,1125,0
C0197,196,铜基热电及功能复合材料,能源材料与电化学基础,混杂待重分,质量限制观察,6333,6333,0
C0198,197,电池负极活性材料与电池器件,电化学储能,宽泛待细分,能源电力直接相关,2559,2559,0
C0199,198,交直流供电与储备能源控制,电力电子与电机,宽泛待细分,能源电力直接相关,3092,3092,0
C0200,199,直流输电保护与故障限流,电网与电力系统,方向候选,能源电力直接相关,11031,485,0
C0201,200,电化学电极与摩擦电材料混合,能源材料与电化学基础,混杂待重分,质量限制观察,9685,9685,0
C0202,201,氧化锌复合光催化材料,能源材料与电化学基础,方向候选,关联基础或环境研究,13005,2544,0
C0203,202,纳米表征与光学传感材料,能源材料与电化学基础,关联基础研究,关联基础或环境研究,8394,125,0
C0204,203,发电项目电价结算及清单政策,能源政策与治理,政策类群,能源治理与政策研究,231,6,0
C0205,204,电池测试表征与性能评估,电化学储能,宽泛待细分,能源电力直接相关,9010,9010,0
C0206,205,激子量子点与发光机理,能源材料与电化学基础,关联基础研究,关联基础或环境研究,16014,225,0
C0207,206,组件边框与通用结构材料,制造与通用装置,混杂待重分,质量限制观察,2110,2110,0
C0208,207,能源企业组织投资与管理,能源政策与治理,宽泛待细分,能源治理与政策研究,12691,12691,0
C0209,208,有机半导体光物理与光电响应,能源材料与电化学基础,关联基础研究,关联基础或环境研究,10829,606,0
C0210,209,地热资源开发与换热,热工与能效,方向候选,能源电力直接相关,11871,1751,0
C0211,210,直流变换器拓扑与设计,电力电子与电机,方向候选,能源电力直接相关,18808,2004,0
C0212,211,等离子体波与高能粒子作用,核能与等离子体,方向候选,能源电力直接相关,14465,1249,0
C0213,212,电力电缆绝缘与运行诊断,电网与电力系统,方向候选,能源电力直接相关,8594,1582,0
C0214,213,通信网络路由与拓扑,数字技术与测量,关联基础研究,关联基础或环境研究,13770,128,0
C0215,214,电池极耳焊接及耳机等混合部件,制造与通用装置,混杂待重分,质量限制观察,1059,1059,0
C0216,215,电力可靠性与电气安全,电网与电力系统,宽泛待细分,能源电力直接相关,12063,12063,0
C0217,216,离子液体萃取与金属分离,碳与环境,方向候选,关联基础或环境研究,8337,201,0
C0218,217,气候变化治理与国际政策,能源政策与治理,政策类群,能源治理与政策研究,21895,1710,0
C0219,218,系统可靠性及暂态稳定混合,电网与电力系统,混杂待重分,质量限制观察,10951,10951,0
C0220,219,局部放电电晕与放电物理,电网与电力系统,宽泛待细分,能源电力直接相关,7985,7985,0
C0221,220,锂金属沉积与含锂电极材料,电化学储能,宽泛待细分,能源电力直接相关,15769,15769,0
C0222,221,木质纤维素预处理与生化转化,生物质与资源循环,宽泛待细分,能源电力直接相关,13717,13717,0
C0223,222,泵水轮机与水力机械流动,热工与能效,方向候选,能源电力直接相关,15408,228,0
C0224,223,生物炭制备与环境应用,生物质与资源循环,宽泛待细分,关联基础或环境研究,8602,8602,0
C0225,224,离子导电及功能聚合物,能源材料与电化学基础,关联基础研究,关联基础或环境研究,13534,572,0
C0226,225,过硫酸盐活化与高级氧化,碳与环境,方向候选,关联基础或环境研究,13343,506,3673
C0227,226,空调通风与空气处理,热工与能效,方向候选,能源电力直接相关,8973,182,0
C0228,227,能源审计与综合节能评估,热工与能效,宽泛待细分,能源电力直接相关,19317,19317,0
C0229,228,通用安装固定与机电结构,制造与通用装置,混杂待重分,质量限制观察,4241,4241,0
C0230,229,高温钢材蠕变腐蚀与焊接,能源材料与电化学基础,关联基础研究,关联基础或环境研究,10408,136,0
C0231,230,专利权利要求格式与杂项器件,制造与通用装置,混杂待重分,质量限制观察,2831,2831,0
C0232,231,多种掺杂氧化物及功能化合物,能源材料与电化学基础,混杂待重分,质量限制观察,11909,11909,0
C0233,232,半导体光电化学水分解,氢能与燃料电池,方向候选,能源电力直接相关,10970,878,2686
C0234,233,软开关谐振与交流变换器,电力电子与电机,宽泛待细分,能源电力直接相关,13196,13196,0
C0235,234,热电发电器件与热设计,热工与能效,方向候选,能源电力直接相关,15016,768,0
C0236,235,氢能供给加氢与系统集成,氢能与燃料电池,宽泛待细分,能源电力直接相关,8347,8347,0
C0237,236,分布式光伏部署与技术经济,太阳能,宽泛待细分,能源电力直接相关,23692,23692,0
C0238,237,农业农村经济与资源发展,其他基础与关联学科,关联基础研究,关联基础或环境研究,9577,10,0
C0239,238,高温及绝缘陶瓷制备,能源材料与电化学基础,宽泛待细分,关联基础或环境研究,9985,9985,0
C0240,239,薄膜晶体管与有机电子器件,电力电子与电机,关联基础研究,关联基础或环境研究,8242,201,0
C0241,240,有机半导体供受体与分子器件材料,能源材料与电化学基础,关联基础研究,关联基础或环境研究,13229,818,0
C0242,241,文摘索引与教学资料记录,其他基础与关联学科,外围或非研究文本,质量限制观察,5446,5446,0
C0243,242,生物油热解与燃料升级,生物质与资源循环,方向候选,能源电力直接相关,13582,819,0
C0244,243,电驱控制器与机电集成装置,电力电子与电机,宽泛待细分,能源电力直接相关,2134,2134,0
C0245,244,碳基超级电容器电极,电化学储能,方向候选,能源电力直接相关,12699,10159,0
C0246,245,虚拟电厂资源聚合与调度,电网与电力系统,方向候选,能源电力直接相关,2610,83,1823
C0247,246,镍锰及多种无机功能材料,能源材料与电化学基础,混杂待重分,质量限制观察,11497,11497,0
C0248,247,电力安全生产与应急政策,能源政策与治理,政策类群,能源治理与政策研究,965,106,0
C0249,248,磁性材料磁路与磁场基础,能源材料与电化学基础,宽泛待细分,关联基础或环境研究,12703,12703,0
C0250,249,热力循环余热与联供系统,热工与能效,宽泛待细分,能源电力直接相关,9533,9533,0
C0251,250,充电站选址与充电调度,交通与充电,方向候选,能源电力直接相关,9621,2514,0
C0252,251,热泵与区域供热供冷,热工与能效,宽泛待细分,能源电力直接相关,10959,10959,0
C0253,252,二氧化碳加氢与多类催化反应,碳与环境,宽泛待细分,能源电力直接相关,9613,9613,0
C0254,253,电催化析氢与界面调控,氢能与燃料电池,方向候选,能源电力直接相关,19499,993,4974
C0255,254,锂离子电池电极材料,电化学储能,宽泛待细分,能源电力直接相关,13320,13320,0
C0256,255,磁电耦合与自旋极化基础,能源材料与电化学基础,关联基础研究,关联基础或环境研究,11714,56,0
C0257,256,固体氧化物燃料电池,氢能与燃料电池,方向候选,能源电力直接相关,18799,745,12407
C0258,257,综合能源系统协同管理与优化调度,电网与电力系统,宽泛待细分,能源电力直接相关,19593,19593,0
C0259,258,锂硫电池正极与多硫化物调控,电化学储能,方向候选,能源电力直接相关,11208,943,7657
C0260,259,电压电流检测与校验电路,数字技术与测量,宽泛待细分,关联基础或环境研究,3082,3082,0
C0261,260,保护电路与开关控制,电力电子与电机,宽泛待细分,能源电力直接相关,3277,3277,0
C0262,261,电池外壳盖板与封装,电化学储能,方向候选,能源电力直接相关,3146,1269,0
C0263,262,碳基氧还原及单原子催化,能源材料与电化学基础,宽泛待细分,能源电力直接相关,12569,12569,0
C0264,263,绿色发展可持续性与绿色金融,能源政策与治理,宽泛待细分,能源治理与政策研究,16115,16115,0
C0265,264,覆冰冻结与除冰传热,热工与能效,宽泛待细分,能源电力直接相关,4246,4246,0
C0266,265,燃料电池质子交换膜,氢能与燃料电池,方向候选,能源电力直接相关,12065,5576,345
C0267,266,通用数学方程与数值方法,其他基础与关联学科,关联基础研究,关联基础或环境研究,15483,136,0
C0268,267,液冷流体通道与杂项机电装置,热工与能效,混杂待重分,质量限制观察,2231,2231,0
C0269,268,有机发光与分子光物理材料,能源材料与电化学基础,关联基础研究,关联基础或环境研究,13964,1973,0
C0270,269,翼型螺旋桨与航空气动,其他基础与关联学科,关联基础研究,关联基础或环境研究,15706,81,0
C0271,270,沼气及多路线生物燃料,生物质与资源循环,宽泛待细分,能源电力直接相关,13989,13989,0
C0272,271,高分子绝缘与复合材料混合,能源材料与电化学基础,混杂待重分,质量限制观察,9187,9187,0
C0273,272,电机调制谐波与转矩控制,电力电子与电机,宽泛待细分,能源电力直接相关,3473,3473,0
